observable,domain,geometry,numeric,value,target,residual_pct,status,owner_geometry,primary_source
GR_GPB_frame_drag,GR,dpm,numerical,,0.0392,,GAP,bsfg,PAPER_1149
GR_GPB_frame_drag,GR,dpm,discrete,,0.0392,,GAP,bsfg,PAPER_1149
GR_GPB_frame_drag,GR,d26,symbolic,,0.0392,,GAP,bsfg,PAPER_1149
GR_GPB_frame_drag,GR,d26,numerical,,0.0392,,GAP,bsfg,PAPER_1149
GR_GPB_frame_drag,GR,d26,discrete,,0.0392,,GAP,bsfg,PAPER_1149
GR_GPB_geodetic,GR,qcalcgeom,symbolic,,6.6028,,GAP,bsfg,PAPER_1149
GR_GPB_geodetic,GR,qcalcgeom,numerical,,6.6028,,GAP,bsfg,PAPER_1149
GR_GPB_geodetic,GR,qcalcgeom,discrete,,6.6028,,GAP,bsfg,PAPER_1149
GR_GPB_geodetic,GR,bsfg,symbolic,6.6001666666666665,6.6028,0.039882,OK,bsfg,PAPER_1149
GR_GPB_geodetic,GR,bsfg,numerical,6.6001666666666665,6.6028,0.039882,OK,bsfg,PAPER_1149
GR_GPB_geodetic,GR,bsfg,discrete,6.6001666666666665,6.6028,0.039882,OK,bsfg,PAPER_1149
GR_GPB_geodetic,GR,dpm,symbolic,,6.6028,,GAP,bsfg,PAPER_1149
GR_GPB_geodetic,GR,dpm,numerical,,6.6028,,GAP,bsfg,PAPER_1149
GR_GPB_geodetic,GR,dpm,discrete,,6.6028,,GAP,bsfg,PAPER_1149
GR_GPB_geodetic,GR,d26,symbolic,,6.6028,,GAP,bsfg,PAPER_1149
GR_GPB_geodetic,GR,d26,numerical,,6.6028,,GAP,bsfg,PAPER_1149
GR_GPB_geodetic,GR,d26,discrete,,6.6028,,GAP,bsfg,PAPER_1149
GR_Hulse_Taylor_ratio,GR,qcalcgeom,symbolic,,0.997,,GAP,bsfg,PAPER_1149
GR_Hulse_Taylor_ratio,GR,qcalcgeom,numerical,,0.997,,GAP,bsfg,PAPER_1149
GR_Hulse_Taylor_ratio,GR,qcalcgeom,discrete,,0.997,,GAP,bsfg,PAPER_1149
GR_Hulse_Taylor_ratio,GR,bsfg,symbolic,0.9964999999999998,0.997,0.050150,OK,bsfg,PAPER_1149
GR_Hulse_Taylor_ratio,GR,bsfg,numerical,0.9964999999999998,0.997,0.050150,OK,bsfg,PAPER_1149
GR_Hulse_Taylor_ratio,GR,bsfg,discrete,0.9964999999999998,0.997,0.050150,OK,bsfg,PAPER_1149
GR_Hulse_Taylor_ratio,GR,dpm,symbolic,,0.997,,GAP,bsfg,PAPER_1149
GR_Hulse_Taylor_ratio,GR,dpm,numerical,,0.997,,GAP,bsfg,PAPER_1149
GR_Hulse_Taylor_ratio,GR,dpm,discrete,,0.997,,GAP,bsfg,PAPER_1149
GR_Hulse_Taylor_ratio,GR,d26,symbolic,,0.997,,GAP,bsfg,PAPER_1149
GR_Hulse_Taylor_ratio,GR,d26,numerical,,0.997,,GAP,bsfg,PAPER_1149
GR_Hulse_Taylor_ratio,GR,d26,discrete,,0.997,,GAP,bsfg,PAPER_1149
GR_Kerr_ISCO_extremal,GR,qcalcgeom,symbolic,,1.0,,GAP,bsfg,PAPER_1149
GR_Kerr_ISCO_extremal,GR,qcalcgeom,numerical,,1.0,,GAP,bsfg,PAPER_1149
GR_Kerr_ISCO_extremal,GR,qcalcgeom,discrete,,1.0,,GAP,bsfg,PAPER_1149
GR_Kerr_ISCO_extremal,GR,bsfg,symbolic,1.0,1.0,0.000000,EXACT,bsfg,PAPER_1149
GR_Kerr_ISCO_extremal,GR,bsfg,numerical,1.0,1.0,0.000000,EXACT,bsfg,PAPER_1149
GR_Kerr_ISCO_extremal,GR,bsfg,discrete,1.0,1.0,0.000000,EXACT,bsfg,PAPER_1149
GR_Kerr_ISCO_extremal,GR,dpm,symbolic,,1.0,,GAP,bsfg,PAPER_1149
