quantity,kind,detail
KK_AU_per_1e10_m,odmap_gap,PAPER_1167
KK_AU_per_1e10_m,odmap_gap,PAPER_1167
KK_AU_per_1e10_m,odmap_gap,PAPER_1167
KK_Earth_orbit_v_per_km_s,odmap_gap,PAPER_1167
KK_Earth_orbit_v_per_km_s,odmap_gap,PAPER_1167
KK_Earth_orbit_v_per_km_s,odmap_gap,PAPER_1167
KK_Earth_orbit_v_per_km_s,odmap_gap,PAPER_1167
KK_Earth_orbit_v_per_km_s,odmap_gap,PAPER_1167
KK_Earth_orbit_v_per_km_s,odmap_gap,PAPER_1167
KK_Earth_orbit_v_per_km_s,odmap_gap,PAPER_1167
KK_Earth_orbit_v_per_km_s,odmap_gap,PAPER_1167
KK_Earth_orbit_v_per_km_s,odmap_gap,PAPER_1167
KK_Earth_radius_per_1e6_m,odmap_gap,PAPER_1167
KK_Earth_radius_per_1e6_m,odmap_gap,PAPER_1167
KK_Earth_radius_per_1e6_m,odmap_gap,PAPER_1167
KK_Earth_radius_per_1e6_m,odmap_gap,PAPER_1167
KK_Earth_radius_per_1e6_m,odmap_gap,PAPER_1167
KK_Earth_radius_per_1e6_m,odmap_gap,PAPER_1167
KK_Earth_radius_per_1e6_m,odmap_gap,PAPER_1167
KK_Earth_radius_per_1e6_m,odmap_gap,PAPER_1167
KK_Earth_radius_per_1e6_m,odmap_gap,PAPER_1167
KK_Jupiter_mass_per_1e27_kg,odmap_gap,PAPER_1167
KK_Jupiter_mass_per_1e27_kg,odmap_gap,PAPER_1167
KK_Jupiter_mass_per_1e27_kg,odmap_gap,PAPER_1167
KK_Jupiter_mass_per_1e27_kg,odmap_gap,PAPER_1167
KK_Jupiter_mass_per_1e27_kg,odmap_gap,PAPER_1167
KK_Jupiter_mass_per_1e27_kg,odmap_gap,PAPER_1167
KK_Jupiter_mass_per_1e27_kg,odmap_gap,PAPER_1167
KK_Jupiter_mass_per_1e27_kg,odmap_gap,PAPER_1167
KK_Jupiter_mass_per_1e27_kg,odmap_gap,PAPER_1167
KK_Mars_orbit_AU,odmap_gap,PAPER_1167
KK_Mars_orbit_AU,odmap_gap,PAPER_1167
KK_Mars_orbit_AU,odmap_gap,PAPER_1167
KK_Mars_orbit_AU,odmap_gap,PAPER_1167
KK_Mars_orbit_AU,odmap_gap,PAPER_1167
KK_Mars_orbit_AU,odmap_gap,PAPER_1167
KK_Mars_orbit_AU,odmap_gap,PAPER_1167
KK_Mars_orbit_AU,odmap_gap,PAPER_1167
KK_Mars_orbit_AU,odmap_gap,PAPER_1167
KK_Mercury_year_per_10_day,odmap_gap,PAPER_1167
KK_Mercury_year_per_10_day,odmap_gap,PAPER_1167
KK_Mercury_year_per_10_day,odmap_gap,PAPER_1167
KK_Mercury_year_per_10_day,odmap_gap,PAPER_1167
KK_Mercury_year_per_10_day,odmap_gap,PAPER_1167
KK_Mercury_year_per_10_day,odmap_gap,PAPER_1167
KK_Mercury_year_per_10_day,odmap_gap,PAPER_1167
KK_Mercury_year_per_10_day,odmap_gap,PAPER_1167
KK_Mercury_year_per_10_day,odmap_gap,PAPER_1167
KK_Moon_orbital_period_per_day,odmap_gap,PAPER_1167
KK_Moon_orbital_period_per_day,odmap_gap,PAPER_1167
KK_Moon_orbital_period_per_day,odmap_gap,PAPER_1167
KK_Moon_orbital_period_per_day,odmap_gap,PAPER_1167
KK_Moon_orbital_period_per_day,odmap_gap,PAPER_1167
