SourceFile,ClassName,LineNumber,BaseClass,PhysicsType,MethodSignature
source19_wolfram.cpp,EinsteinRingOscillatoryWaveTerm,266,PhysicsTerm,wave,double compute(double t)
source19_wolfram.cpp,EinsteinRingDarkMatterPerturbationTerm,291,PhysicsTerm,darkmatter,double compute(double t)
source19_wolfram.cpp,EinsteinRingTimeDelayTerm,321,PhysicsTerm,gravity,double compute(double t)
source19_wolfram.cpp,EinsteinRingShapiroDelayTerm,351,PhysicsTerm,gravity,double compute(double t)
source19_wolfram.cpp,EinsteinRingLightDeflectionTerm,380,PhysicsTerm,gravity,double compute(double t)
source19_wolfram.cpp,EinsteinRingMassSheetDegeneracyTerm,410,PhysicsTerm,gravity,double compute(double t)
source19_wolfram.cpp,EinsteinRingMagnificationTerm,439,PhysicsTerm,gravity,double compute(double t)
source19_wolfram.cpp,EinsteinRingCriticalSurfaceDensityTerm,469,PhysicsTerm,gravity,double compute(double t)
source19_wolfram.cpp,EinsteinRingConvergenceTerm,498,PhysicsTerm,gravity,double compute(double t)
source20_wolfram.cpp,DynamicVacuumTerm,24,PhysicsTerm,vacuum,double compute(double t)
source20_wolfram.cpp,QuantumCouplingTerm,49,PhysicsTerm,vacuum,double compute(double t)
source20_wolfram.cpp,NGC2525BaseGravityTerm,77,PhysicsTerm,gravity,double compute(double t)
source20_wolfram.cpp,NGC2525BlackHoleTerm,113,PhysicsTerm,gravity,double compute(double t)
source20_wolfram.cpp,NGC2525UQFFUnificationTerm,144,PhysicsTerm,unified,double compute(double t)
source20_wolfram.cpp,NGC2525CosmologicalConstantTerm,179,PhysicsTerm,vacuum,double compute(double t)
source20_wolfram.cpp,NGC2525ElectromagneticTerm,195,PhysicsTerm,electromagnetic,double compute(double t)
source20_wolfram.cpp,NGC2525QuantumUncertaintyTerm,222,PhysicsTerm,quantum,double compute(double t)
source20_wolfram.cpp,NGC2525FluidDensityTerm,247,PhysicsTerm,fluid,double compute(double t)
source20_wolfram.cpp,NGC2525OscillatoryWaveTerm,272,PhysicsTerm,wave,double compute(double t)
source20_wolfram.cpp,NGC2525DarkMatterPerturbationTerm,297,PhysicsTerm,darkmatter,double compute(double t)
source20_wolfram.cpp,NGC2525SupernovaMassLossTerm,327,PhysicsTerm,stellar,double compute(double t)
source21_wolfram.cpp,DynamicVacuumTerm,24,PhysicsTerm,vacuum,double compute(double t)
source21_wolfram.cpp,QuantumCouplingTerm,49,PhysicsTerm,vacuum,double compute(double t)
source21_wolfram.cpp,NGC3603BaseGravityTerm,77,PhysicsTerm,gravity,double compute(double t)
source21_wolfram.cpp,NGC3603UQFFUnificationTerm,118,PhysicsTerm,unified,double compute(double t)
source21_wolfram.cpp,NGC3603CosmologicalConstantTerm,156,PhysicsTerm,vacuum,double compute(double t)
