paper,cited_by_files
PAPER_2043,30
PAPER_2044,4
PAPER_2045,11
PAPER_2046,14
PAPER_2047,12
PAPER_2048,6
PAPER_2049,8
PAPER_205,2
PAPER_2050,9
PAPER_2051,2
PAPER_2052,9
PAPER_2053,8
PAPER_2054,14
PAPER_2055,6
PAPER_2056,7
PAPER_2057,8
PAPER_2058,9
PAPER_2059,6
PAPER_206,3
PAPER_2060,10
PAPER_2061,14
PAPER_2062,17
PAPER_2063,9
PAPER_2064,10
PAPER_2065,10
PAPER_2066,3
PAPER_2067,6
PAPER_2068,8
PAPER_2069,7
PAPER_207,2
PAPER_2070,7
PAPER_2071,3
PAPER_2072,5
PAPER_2073,6
PAPER_2074,1
PAPER_2075,4
PAPER_2076,3
PAPER_2077,4
PAPER_2078,3
PAPER_2079,8
PAPER_208,5
PAPER_2080,2
PAPER_2081,6
PAPER_2082,5
PAPER_2083,4
PAPER_2084,6
PAPER_2085,4
PAPER_2086,1
PAPER_2087,2
PAPER_2088,2
PAPER_2089,2
PAPER_209,2
PAPER_2090,5
PAPER_2091,4
PAPER_2092,1
PAPER_2093,19
PAPER_2094,14
PAPER_2095,11
PAPER_2096,8
PAPER_2097,9
PAPER_2098,10
PAPER_2099,9
PAPER_210,2
PAPER_2100,16
PAPER_2101,7
PAPER_2102,6
PAPER_2103,7
PAPER_2104,4
PAPER_2105,9
PAPER_2106,4
PAPER_2107,6
PAPER_2108,5
PAPER_2109,7
PAPER_211,3
PAPER_2110,2
PAPER_2111,1
PAPER_2112,5
PAPER_2113,3
PAPER_2114,6
PAPER_2115,6
PAPER_2116,4
PAPER_2117,5
PAPER_2118,1
PAPER_2119,5
PAPER_212,1
PAPER_2120,3
PAPER_2121,6
PAPER_2122,4
PAPER_2123,2
PAPER_2124,1
PAPER_2125,5
PAPER_2126,4
PAPER_2127,2
PAPER_2128,2
PAPER_2129,1
PAPER_213,2
PAPER_214,2
PAPER_215,1
PAPER_216,2
PAPER_217,1
PAPER_218,4
PAPER_219,4
PAPER_220,2
PAPER_221,5
PAPER_222,3
PAPER_223,3
PAPER_224,2
PAPER_225,2
PAPER_226,3
PAPER_227,2
PAPER_228,9
PAPER_229,4
PAPER_230,2
PAPER_231,4
PAPER_232,1
PAPER_233,1
PAPER_234,5
PAPER_235,7
PAPER_236,1
PAPER_237,5
PAPER_238,1
PAPER_239,1
PAPER_240,3
PAPER_241,1
PAPER_242,4
PAPER_243,5
PAPER_244,2
PAPER_245,1
PAPER_246,1
PAPER_247,2
PAPER_248,2
PAPER_249,2
PAPER_250,8
PAPER_251,10
PAPER_252,5
PAPER_253,8
PAPER_254,2
PAPER_255,3
PAPER_256,4
PAPER_257,2
PAPER_258,3
PAPER_259,5
PAPER_260,5
PAPER_261,2
PAPER_262,4
PAPER_263,2
PAPER_264,5
PAPER_265,3
PAPER_266,18
PAPER_267,3
PAPER_268,3
PAPER_269,1
PAPER_270,2
PAPER_271,1
